"Number of Crimes by Hour of Day by Location"
"Current date: 8/28/2022 10:32:59 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Worcester County"
"Incident Date: 2019"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","4,339","2,938","1,912","876","2,223","4,800","5,148","5,251"
"Residence/Home","1,908","1,485","827","413","1,060","1,950","2,016","2,085"
"Commercial","1,192","607","412","206","468","1,263","1,541","1,617"
"Air/Bus/Train Terminal","15","4","4","2","6","23","20","18"
"Bank/Savings and Loan","31","13","6","","16","158","130","125"
"Bar/Nightclub","25","50","96","6","3","18","26","28"
"Commercial/Office Building","141","49","49","28","106","262","249","237"
"Convenience Store","87","53","56","33","60","90","86","107"
"Department/Discount Store","357","124","5","9","62","184","342","442"
"Drug Store/Doctor’s Office/Hospital","131","83","44","42","33","109","123","126"
"Grocery/Supermarket","94","19","4","9","20","88","120","126"
"Hotel/Motel/Etc.","52","37","33","12","16","32","52","40"
"Liquor Store","29","20","7","6","9","17","26","35"
"Rental Storage Facility","1","1","","","9","7","11","7"
"Restaurant","99","98","48","18","37","91","123","113"
"Service/Gas Station","35","35","22","21","33","60","68","71"
"Specialty Store","74","16","30","15","50","98","139","116"
"ATM Separate from Bank","3","2","","","2","4","7","7"
"Auto Dealership New/Used","6","","5","5","6","21","15","15"
"Gambling Facility/Casino/Race Track","1","","","","","","","1"
"Shopping Mall","11","3","3","","","1","4","3"
"Educational Facility","62","43","19","4","76","193","221","119"
"School/College(Historical Only)","","","","","3","10","18","8"
"Daycare Facility","1","","","","","1","2",""
"School – College/University","32","26","16","3","12","40","47","34"
"School – Elementary/Secondary","29","17","3","1","61","142","154","77"
"Government/Public Building and other","171","84","43","14","101","239","269","290"
"Church/Synagogue/Temple/Mosque","18","5","1","","8","19","21","10"
"Government/Public Building","106","52","30","12","73","183","196","221"
"Jail/Prison/Penitentiary/Corrections Facility","3","1","1","","","3","4","11"
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","2","4","1","","4","1","2","2"
"Military Installation","","","","","","","",""
"Park/Playground","20","15","7","1","6","17","28","30"
"Shelter – Mission/Homeless","12","6","1","1","4","7","10","10"
"Tribal Lands","","","","","","","",""
"Community Center","10","1","2","","6","9","8","6"
"Road/Parking/Camps","716","562","521","195","344","728","641","740"
"Highway/Road/Alley/Street/Sidewalk","564","467","441","164","259","519","481","579"
"Parking/Drop Lot/Garage","128","81","67","30","72","177","131","130"
"Rest Area","","","","","","","",""
"Field/Woods/Waterways/Camps","24","14","13","1","13","32","29","31"
"Field/Woods","21","12","12","","12","28","26","27"
"Lake/Waterway/Beach","3","","","1","","2","3","1"
"Camp/Campground","","2","1","","1","1","","3"
"Dock/Wharf/Freight/Modal Terminal","","","","","","1","",""
"Construction/Industrial/Farm","6","4","","","20","21","15","15"
"Construction Site","4","1","","","13","14","8","9"
"Farm Facility","","1","","","2","2","2","2"
"Industrial Site","2","2","","","5","5","5","4"
"Cyberspace","20","8","4","1","3","38","41","27"
"Abandoned/Condemned Structure","2","1","1","","1","3","4","1"
"Other/Unknown","262","144","85","43","150","365","400","357"
"Missing","","","","","","","",""
