1,Middlesex County,"1,605,899"
2,Worcester County,"826,655"
3,Suffolk County,"801,162"
4,Essex County,"787,038"
5,Norfolk County,"703,740"
6,Bristol County,"563,301"
7,Plymouth County,"518,597"
8,Hampden County,"466,647"
9,Barnstable County,"213,505"
10,Hampshire County,"161,361"
11,Berkshire County,"125,927"
12,Franklin County,"70,529"
13,Dukes County,"17,430"
14,Nantucket County,"11,212"
